videoID,videoTitle,Views,publishTime,duration,Hashtags,Likes,Shares,Comments,Music
v001,Dance Challenge,12000,2023-01-01,3:45,"#dance,#challenge,#fun",3500,300,250,SummerBeat
v002,Summer Groove,15500,2023-02-15,2:50,"#dance,#summer,#groove",4200,380,300,TropicalVibes
v003,Party Moves,21000,2023-03-10,4:20,"#dance,#party,#moves",5500,520,480,PartyAllNight
v004,Viral Steps,25800,2023-04-05,3:10,"#dance,#viral,#trending",6500,620,590,Top40Hits
v005,Cool Duets,12200,2023-05-20,5:00,"#duet,#cool,#dance",3200,280,250,PopClassics
v006,My Best Moves,18000,2023-06-07,3:55,"#best,#dance,#moves",4600,430,410,EDMDrop
v007,Spring Vibes,23000,2023-07-03,4:30,"#dance,#spring,#vibes",5800,540,510,SpringMelodies
v008,Funky Challenge,19000,2023-08-15,3:30,"#funky,#challenge,#duet",4900,460,440,FunkFusion
v009,Winter Fun,20000,2023-09-21,4:45,"#winter,#fun,#viral",5100,480,450,WinterWhispers
v010,Anniversary Dance,24000,2023-10-30,5:15,"#anniversary,#dance,#party",6000,580,560,AnniversaryWaltz
